Send TPS,50,100,150,200,250,300,350,400,450,500,550,600
Write Latency ,0.38,0.29,0.91,2.02,2.84,4.73,5.58,7.05,8.01,9.91,11.65,12.90
Query Latency ,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.07,0.10,0.60,1.15,1.93
