Send TPS,50,100,150,200,250,300,350,400,450,500,550,600
Write Throughput (TPS),33,65,96,123,133,109,117,103,107,101,100,98
Query Throughput (TPS),48,96,144,191,247,280,330,391,430,452,431,455
